trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,mae,mfe,long_pnl_pct,short_pnl_pct,entry_vwap,entry_rsi,entry_atr,entry_active_entry_price,entry_stop_level,entry_take_profit_level,entry_position,exit_vwap,exit_rsi,exit_atr,exit_active_entry_price,exit_stop_level,exit_take_profit_level,exit_position
25,Long,2023-03-30 04:00:00+00:00,2023-03-30 17:00:00+00:00,1795.72,1769.33,-0.014696055064263969,-26.390000000000093,13,long_exit_signal,-0.014696055064263969,0.00547412736952313,-0.014696055064263969,0.0,1796.4689388714423,51.647514108769556,18.574952590439832,1795.72,1767.8575711143403,,long,1793.7599210888673,36.58092677472986,15.06282810264454,,,,flat
26,Long,2023-04-01 21:00:00+00:00,2023-04-02 08:00:00+00:00,1819.58,1817.38,-0.0012090702249968333,-2.1999999999997377,11,long_exit_signal,-0.004561492212488583,0.0016432363512459691,-0.0012090702249968333,0.0,1821.931836750985,51.18871715984113,9.24052623141175,1819.58,1805.7192106528823,,long,1816.5952521056934,49.38016270670789,7.625403685375855,1817.38,1828.8181055280638,,short
27,Short,2023-04-02 08:00:00+00:00,2023-04-03 18:00:00+00:00,1817.38,1831.32,-0.007670382638743645,-13.939999999999927,34,short_exit_signal,-0.007611995718934894,0.026287108305145246,0.0,-0.007670382638743645,1816.5952521056934,49.38016270670789,7.625403685375855,1817.38,1828.8181055280638,,short,1800.8216236105118,65.58870988122365,14.548328466533091,,,,flat
28,Long,2023-04-10 14:00:00+00:00,2023-04-17 06:00:00+00:00,1855.31,2094.31,0.1288194425729392,238.99999999999983,160,long_exit_signal,0.0,0.14867596250761328,0.1288194425729392,0.0,1855.5708681556384,51.47188470676236,8.835878064203035,1855.31,1842.0561829036953,,long,2092.8942800589625,46.9939338306326,16.935402980123293,2094.31,2119.713104470185,,short
29,Short,2023-04-17 06:00:00+00:00,2023-04-18 11:00:00+00:00,2094.31,2117.91,-0.011268627853565194,-23.600000000000122,29,short_exit_signal,-0.01114306084772243,0.011016225036085237,0.0,-0.011268627853565194,2092.8942800589625,46.9939338306326,16.935402980123293,2094.31,2119.713104470185,,short,2092.326760228835,66.60804051324882,13.325414930182292,,,,flat
30,Short,2023-04-22 20:00:00+00:00,2023-04-24 01:00:00+00:00,1868.2,1870.94,-0.0014666523926774033,-2.739999999999925,29,short_exit_signal,-0.004274552024815859,0.012113726000086755,0.0,-0.0014666523926774033,1861.277596549638,49.079660125980695,12.671529755941604,1868.2,1887.2072946339124,,short,1873.0638973415205,55.21731698288764,15.13786089255829,,,,flat
31,Short,2023-05-07 18:00:00+00:00,2023-05-21 07:00:00+00:00,1908.94,1816.19,0.04858717403375701,92.7500000000001,325,short_exit_signal,-0.0042616229637317815,0.09219590342144413,0.0,0.04858717403375701,1907.6755082024324,49.57043583424317,13.394909417991574,1908.94,1929.0323641269874,,short,1818.6968515522376,50.536246527907736,5.533860425415763,1816.19,1807.8892093618765,,long
32,Long,2023-05-21 07:00:00+00:00,2023-05-21 10:00:00+00:00,1816.19,1809.29,-0.0037991619819512934,-6.900000000000119,3,long_exit_signal,-0.0037991619819512934,0.0,-0.0037991619819512934,0.0,1818.6968515522376,50.536246527907736,5.533860425415763,1816.19,1807.8892093618765,,long,1816.6928844178024,41.707946311943665,5.718622942652509,,,,flat
33,Long,2023-05-24 02:00:00+00:00,2023-05-24 03:00:00+00:00,1845.2,1820.85,-0.013196401474095065,-24.350000000000215,1,long_exit_signal,-0.013196401474095065,0.0,-0.013196401474095065,0.0,1846.8304571259255,50.00621062798179,8.180016166765162,1845.2,1832.9299757498522,,long,1830.994371013209,33.390298860973544,10.13930072628193,,,,flat
34,Short,2023-05-25 15:00:00+00:00,2023-05-25 18:00:00+00:00,1790.63,1804.77,-0.007896662068657356,-14.139999999999922,3,short_exit_signal,-0.007834793353169611,0.0,0.0,-0.007896662068657356,1788.709035111939,46.14491336272,12.00167457287019,1790.63,1808.6325118593054,,short,1790.3885884116817,56.72714079859818,11.425502564357094,,,,flat
