time,open,high,low,close,EMA,LUCID Connector,Internal Higher High,Internal Lower High,Internal Lower Low,Internal Higher Low,Premium Bottom,Equilibrium Top,Equilibrium Bottom,Discount Top,Liquidity Grabs (Open),Liquidity Grabs (High,Liquidity Grabs (Low),Liquidity Grabs (Close),Custom Alert Condition Highlighter,Alert Scripting Condition Highlighter,@valuewhen,LUCID Connector,HyperWave,HWO Up,Oversold HWO Up,HWO Down,Overbought HWO Down,Reversal Up +,Reversal Up -,Reversal Down +,Reversal Down -,Money Flow,Bullish Overflow,Bearish Overflow,Upper Money Flow Threshold,Lower Money Flow Threshold,Upper Confluence Value,Lower Confluence Value,Upper Confluence Zone,Lower Confluence Zone,Confluence Meter Value,Custom Alert Condition Highlighter,Alert Scripting Condition Highlighter,@valuewhen,ATR,Histogram,MACD,Signal
1751673600,107985.5,108432.7,107750.1,108199.7,100297.10471935215,17048578,NaN,NaN,NaN,NaN,110089.93,94168.835,92295.765,76374.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1075970050,63.809715817062454,NaN,NaN,66.7309923521024,NaN,NaN,NaN,NaN,NaN,56.11830123602393,50,50,59.850171895888366,45.496765708561796,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,2537.5315283976056,232.98589169204854,854.5511299263162,621.5652382342677
1751760000,108199.8,109719.6,107804.1,109202.6,100454.72410485035,1132546,NaN,NaN,NaN,NaN,110089.93,94168.835,92295.765,76374.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,63.608722988315684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.47856246049271,50,50,59.833313848711384,45.55167469232145,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,2493.1007049406335,250.21017239101866,934.327953723041,684.1177813320223
1751846400,109202.6,109707.9,107506.5,108262.1,100592.90774901229,16785410,NaN,NaN,NaN,NaN,110089.93,94168.835,92295.765,76374.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,63.61430907874505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.81177110781458,50,50,59.8132061350069,45.602975174398914,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,2472.2649403020164,181.6321031075804,911.1579102164978,729.5258071089174
1751932800,108262.1,109218.8,107421.4,108926,100740.39610743684,16779266,NaN,NaN,NaN,NaN,110089.93,94168.835,92295.765,76374.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2228226,62.54660732637377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.27870172015211,50,50,59.79553361293263,45.65635380712768,2,0,105,-5,57.142857142857146,NaN,NaN,NaN,2424.0603017090157,164.84484236033313,935.5818600593338,770.7370176990007
1752019200,108926,112000,108333.4,111239.3,100926.21741526981,2201173884930,NaN,NaN,NaN,NaN,110125.08,94188.26000000001,92313.34,76376.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2149711874,68.53328913611276,64.89806851374385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.507229415234946,50,50,59.78409209194414,45.715608185168215,2,0,105,-5,71.42857142857143,NaN,NaN,NaN,2512.8131373012293,286.28421295731675,1128.5922838956467,842.3080709383299
1752105600,111239.3,117548.2,110504.4,116015.9,101193.29144331813,524290,NaN,NaN,NaN,NaN,115395.87,97101.065,94948.735,76653.93000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,144834562,80.46923444597778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.26238132899483,50,50,59.78148353812939,45.78334205088735,2,0,105,-5,71.42857142857143,NaN,NaN,NaN,2836.4550560654275,644.5448573616379,1647.9891426403774,1003.4442852787395
1752192000,116016,118868,115208.1,117542.3,101482.65442662223,524290,NaN,NaN,NaN,NaN,116649.68,97793.96,95575.64,76719.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10658114,87.91684331488037,NaN,NaN,NaN,NaN,NaN,NaN,105,NaN,60.415525290058156,50.415525290058156,50,59.908291888515144,45.8565029670832,2,0,105,-5,78.57142857142857,NaN,NaN,NaN,2895.2725520607537,923.5706541724796,2157.907602994339,1234.3369488218593
1752278400,117542.2,118230.5,116916.6,117437.1,101765.03399429264,2,NaN,NaN,NaN,NaN,116649.68,97793.96,95575.64,76719.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10625026,91.06113538923654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.24391040620107,50.24391040620107,50,59.97541559205233,45.92844000427879,2,0,105,-5,78.57142857142857,NaN,NaN,NaN,2782.3173697706993,1032.0766855838244,2524.43280580164,1492.3561202178155
1752364800,117438,119500,117222.5,119096,102071.7767554556,2,NaN,NaN,NaN,NaN,117250.08,98125.76000000001,95875.84,76751.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10625026,92.93660010758254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.1104410818248,50.1104410818248,50,60.00242069000682,45.99935000966652,2,0,105,-5,78.57142857142857,NaN,NaN,NaN,2746.258986215649,1138.2445953019267,2915.161864345224,1776.9172690432972
1752451200,119095.9,123226,118906.5,119848.7,102386.41256509356,524290,123226,NaN,NaN,NaN,120789.78,100081.91,97645.69,76937.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10616834,94.4044236307937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.98471820813612,50,50,60.00233217759747,46.069276850658866,2,0,105,-5,71.42857142857143,NaN,NaN,NaN,2858.6333443431026,1176.9556617506137,3248.1118462315644,2071.1561844809507
