time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Volume,Basis,Upper,Lower,Up Trend,Down Trend,EMA,EMA,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Upper,Average,Lower,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,Plot,Plot,ATR,Plot,K,D,%R
2025-02-01,102379.8,102734.9,100215,100603.6,101184.49999999999,101184.50195312499,101184.49804687499,90863.091,102194.82499999998,107759.7523209541,96629.89767904587,92315.47774702733,NaN,82762.42542842505,98818.73444855526,102378.25,99454.5,84208.5,98537.225,98551.45000000001,114401.46919127998,105563.3053795392,96725.14156779843,NaN,102734.9,100215,100603.6,48.77143314565609,56.89120583857561,NaN,NaN,NaN,NaN,-340.0445936543015,1211.2319586907834,1551.2765523450848,23.730519480519526,39.55681818181818,4086.471352588021,-15.234673681514995,20.671610732029876,28.395750333137034,-76.26948051948047
2025-02-02,100603.6,101426,96029.6,97664.5,98373.36666666665,98373.36666666665,98373.36666666665,232934.693,102353.78499999997,107158.44489817241,97549.12510182754,92315.47774702733,NaN,82910.70477739595,98773.47035253349,101239.8,99454.5,84668.1,98659.725,98894.45000000001,114559.29354506107,105721.1297333203,96882.96592157953,NaN,101426,96029.6,97664.5,42.83252265293976,55.88276500367219,NaN,NaN,NaN,NaN,-647.6509283711125,741.7128918811941,1389.3638202523066,11.702599782397032,24.526678282444053,4180.037684546019,-4.372150612799687,2.8343567272998293,19.06032198555674,-88.29740021760297
2025-02-03,97664.5,102456,91130.3,101293.7,98293.33333333333,98293.33333333333,98293.33333333333,455088.034,102592.72499999998,106625.41986516192,98560.03013483803,92315.47774702733,NaN,83093.62015274525,98872.30288772826,98790.15,99454.5,84299.6,98310.125,99283.4,114717.11789884216,105878.95408710139,97040.79027536062,NaN,102456,91130.3,101293.7,50.79947504275835,55.32827913082148,NaN,NaN,NaN,NaN,-587.5611870049554,654.9123364961124,1242.4735235010678,63.08243282664957,32.83851736318872,4690.442135649874,15.544373542692854,12.268838561014354,11.924935340114686,-36.917567173350434
2025-02-04,101293.6,101729.3,96100,97709.9,98513.06666666665,98513.06666666665,98513.06666666665,262746.203,102455.21999999997,106932.46135896214,97977.9786410378,92315.47774702733,NaN,83239.05577311595,98826.71846075852,98790.15,99454.5,86007.7,98310.125,99283.4,114874.94225262325,106036.77844088248,97198.61462914171,NaN,101729.3,96100,97709.9,44.24254117390785,53.88288797742927,NaN,NaN,NaN,NaN,-759.1343104629495,293.5556354223809,1052.6899458853304,41.261240922602205,38.68209117721628,4757.503411674884,12.090927147137,14.910656460008783,10.00461724944099,-58.738759077397795
2025-02-05,97710,99124.2,96106.1,96553.2,97261.16666666667,97261.16666666667,97261.16666666667,151379.666,102286.00999999998,107348.62262547351,97223.39737452645,92315.47774702733,NaN,83371.53482014962,98737.56087406211,98790.15,99454.5,94222.8,98310.125,99283.4,115032.76660640434,106194.60279466357,97356.4389829228,NaN,99124.2,96106.1,96553.2,42.34284868517935,52.71054847507312,NaN,NaN,NaN,NaN,-910.2930103919359,-85.17631710458954,825.1166932873464,34.00747513514189,46.117049628131234,4633.260310840963,2.7500404290335467,14.910656460008783,14.030050493677308,-65.99252486485811
2025-02-06,96553.2,99093,95613.5,96515.1,97073.86666666665,97073.86666666665,97073.86666666665,161521.013,101909.63999999998,107487.0101786412,96332.26982135877,92315.47774702733,NaN,83502.31656323271,98650.40554566751,98790.15,99454.5,86192.7,97839.57500000001,99283.4,115190.59096018544,106352.42714844467,97514.2633367039,NaN,99093,95613.5,96515.1,42.27845381656455,51.51088867059466,NaN,NaN,NaN,NaN,-967.2711756673996,-383.97227629690315,583.2988993704964,33.76854673840792,36.345754265384016,4550.848860066609,-2.402887109010728,2.6418178989944514,10.82104360633734,-66.23145326159208
2025-02-07,96515,100112.4,95555,96454.5,97373.96666666667,97373.96666666667,97373.96666666667,223373.629,101506.14999999998,107425.63160652583,95586.66839347413,92315.47774702733,NaN,83631.19401036472,98564.29160270016,98790.15,99454.5,87245.9,95835.55,98637.9,115348.41531396653,106510.25150222576,97672.08769048499,NaN,100112.4,95555,96454.5,42.168605662883046,50.19267936447527,NaN,NaN,NaN,NaN,-961.4632075941915,-618.5301101222431,342.9330974719485,34.753944267838136,34.176655380462655,4551.316798633279,-0.6934482924240402,1.805962786723588e-14,5.850824786334418,-65.24605573216186
2025-02-08,96454.5,96850,95600,96411.9,96287.3,96287.3,96287.3,69050.432,101261.16999999998,107584.37334770345,94937.96665229651,92315.47774702733,NaN,83758.36521424168,98479.88408886878,98565.15,100565.15,90566.1,95835.55,98637.9,115506.23966774762,106668.07585600685,97829.91204426608,NaN,96850,95600,96411.9,42.085824568338325,48.888315025476324,NaN,NaN,NaN,NaN,-913.2664837083661,-798.6500071635091,114.61647654485694,34.475870937420396,34.332787314555496,4315.508455873759,-12.204720814660918,1.7171449447535753e-14,0.8806059663314968,-65.5241290625796
2025-02-09,96412,97301.7,94650.1,96423.6,96125.13333333335,96125.13333333335,96125.13333333335,101177.286,100969.96999999999,107612.975245248,94326.96475475197,92315.47774702733,NaN,83884.38745091589,98399.24549714844,96932.6,100565.15,89887.8,95835.55,98637.9,115664.06402152871,106825.90020978794,97987.73639804717,NaN,97301.7,94650.1,96423.6,42.119432025490205,47.975349692383475,NaN,NaN,NaN,NaN,-835.4810425967628,-929.7348267010966,-94.25378410433382,34.55224319014082,34.59401946513312,4196.6578518827755,-16.45956353052743,0.06682716878235656,0.022275722927465214,-65.44775680985917
2025-02-10,96423.6,98328,95200.1,97379.2,96969.09999999999,96969.09999999999,96969.09999999999,132932.545,100533.20499999999,106909.093336687,94157.31666331297,92315.47774702733,NaN,84018.66419269782,98359.24371294654,96793.15,100565.15,86753.8,95357.525,98637.9,115821.8883753098,106983.72456356903,98145.56075182826,NaN,98328,95200.1,97379.2,44.930287697305324,47.35674255020865,NaN,NaN,NaN,NaN,-681.0858849401617,-945.6111402795359,-264.5252553393742,40.789963249933066,36.6060257924981,4120.318005319719,-14.979258709819923,5.722935476993984,1.9299208819254539,-59.210036750066934
