trade_id,direction,entry_time,exit_time,entry_price,exit_price,pnl_pct,pnl_currency,bars_held,exit_reason,mae,mfe,long_pnl_pct,short_pnl_pct,entry_vwap,entry_rsi,entry_atr,entry_active_entry_price,entry_stop_level,entry_position,exit_vwap,exit_rsi,exit_atr,exit_active_entry_price,exit_stop_level,exit_position
11,Long,2025-07-04 03:00:00+00:00,2025-07-04 07:00:00+00:00,2576.66,2533.85,-0.016614531991027137,-42.80999999999998,4,long_exit_signal,-0.016614531991027137,0.0,-0.016614531991027137,0.0,2583.310644329081,50.21100995859373,20.170217785967644,2576.66,2546.4046733210484,long,2563.6195313759536,34.53064107008841,20.998098193071186,,,flat
12,Short,2025-07-05 07:00:00+00:00,2025-07-06 13:00:00+00:00,2520.35,2557.39,-0.01469637153569936,-37.03999999999988,30,short_exit_signal,-0.014483516397577167,0.011441344548606569,0.0,-0.01469637153569936,2516.7938237549065,48.30309672428076,15.995784387113417,2520.35,2544.34367658067,short,2527.388455991238,71.29293435181654,14.104556447136144,,,flat
13,Long,2025-07-12 05:00:00+00:00,2025-07-12 15:00:00+00:00,2951.58,2914.83,-0.012450958469701012,-36.750000000000114,10,long_exit_signal,-0.012450958469701012,0.0078229287364735,-0.012450958469701012,0.0,2954.0109140622894,50.13815356641183,29.4137105784109,2951.58,2907.4594341323836,long,2944.6938209778277,37.69837841197923,26.92670499550962,,,flat
14,Long,2025-07-13 23:00:00+00:00,2025-07-15 03:00:00+00:00,2970.37,2950.9,-0.006554738971912499,-19.46999999999973,28,long_exit_signal,-0.006554738971912499,0.032204742170167444,-0.006554738971912499,0.0,2972.81328430602,51.31483991907144,24.77624679004039,2970.37,2933.205629814939,long,2968.6369284043703,33.882408402958475,30.21798060525449,,,flat
15,Long,2025-07-18 21:00:00+00:00,2025-07-22 17:00:00+00:00,3553.73,3699.11,0.04090912928106527,145.38000000000008,92,long_exit_signal,-0.00903276275912912,0.08070112248257466,0.04090912928106527,0.0,3593.3728537002444,50.55496900516664,53.50345885921955,3553.73,3473.474811711171,long,3695.456362510291,47.34084685839738,48.768463333012285,3699.11,3772.2626949995188,short
16,Short,2025-07-22 17:00:00+00:00,2025-07-24 15:00:00+00:00,3699.11,3730.46,-0.008475011556833945,-31.350000000000012,46,short_exit_signal,-0.012519987933828247,0.04396723976383732,0.0,-0.008475011556833945,3695.456362510291,47.34084685839738,48.768463333012285,3699.11,3772.2626949995188,short,3637.0374826665834,62.802700043068334,51.968384932994,,,flat
17,Long,2025-08-05 08:00:00+00:00,2025-08-05 14:00:00+00:00,3633.0,3576.34,-0.015595926231764312,-56.65999999999975,6,long_exit_signal,-0.015595926231764312,0.013190200935865759,-0.015595926231764312,0.0,3652.710043217125,50.079637551219456,31.97363298453601,3633.0,3585.039550523196,long,3639.8253094867646,39.84726457366436,39.14534405339921,,,flat
18,Long,2025-08-10 08:00:00+00:00,2025-08-18 19:00:00+00:00,4208.69,4353.36,0.034374116411519884,144.66999999999962,203,long_exit_signal,-0.010140922709916733,0.13503251605606503,0.034374116411519884,0.0,4241.144140277699,51.36090727142829,46.31961734961569,4208.69,4139.210573975576,long,4317.805888160462,49.21217784196655,55.50654993057335,4353.36,4436.61982489586,short
19,Short,2025-08-18 19:00:00+00:00,2025-08-21 10:00:00+00:00,4353.36,4290.0,0.014554275318374721,63.35999999999977,63,short_exit_signal,-0.0024449877750611915,0.06858716623219774,0.0,0.014554275318374721,4317.805888160462,49.21217784196655,55.50654993057335,4353.36,4436.61982489586,short,4298.222596485556,51.55972144784381,46.641683607285835,4290.0,4220.037474589071,long
20,Long,2025-08-21 10:00:00+00:00,2025-08-21 16:00:00+00:00,4290.0,4220.02,-0.016312354312354227,-69.97999999999963,6,long_exit_signal,-0.016312354312354227,0.0,-0.016312354312354227,0.0,4298.222596485556,51.55972144784381,46.641683607285835,4290.0,4220.037474589071,long,4278.461779038648,40.53468087191852,49.09315460352402,,,flat
21,Long,2025-08-24 11:00:00+00:00,2025-08-25 00:00:00+00:00,4745.95,4699.0,-0.009892645308104742,-46.9499999999997,13,long_exit_signal,-0.009892645308104742,0.03937883879939741,-0.009892645308104742,0.0,4769.0651244927785,50.36370950439426,34.196778121252784,4745.95,4694.654832818121,long,4721.013333333333,38.84548955855393,63.58601139598695,,,flat
22,Short,2025-08-26 13:00:00+00:00,2025-08-26 15:00:00+00:00,4478.42,4516.17,-0.008429312123472199,-37.75000000000037,2,short_exit_signal,-0.01579892358982138,0.0,0.0,-0.008429312123472199,4427.762482706059,49.53459259930921,62.67486027049609,4478.42,4572.432290405744,short,4446.518147675119,53.30410378087194,66.59776217200944,,,flat
23,Long,2025-08-27 20:00:00+00:00,2025-08-27 22:00:00+00:00,4592.87,4521.81,-0.015471807388408476,-71.05999999999963,2,long_exit_signal,-0.015471807388408476,0.0,-0.015471807388408476,0.0,4596.683444411542,51.306530207174696,56.981874411007276,4592.87,4507.397188383489,long,4590.96555963108,41.28883439940417,58.677687629899104,,,flat
24,Short,2025-08-28 13:00:00+00:00,2025-09-09 22:00:00+00:00,4572.84,4316.95,0.05595866026364371,255.89000000000053,297,short_exit_signal,0.0,0.07496326943193976,0.0,0.05595866026364371,4565.571755029451,49.884160403383916,44.27273744611227,4572.84,4639.249106169169,short,4321.850279881493,51.78752557923292,26.717573780595608,4316.95,4276.8736393291065,long
25,Long,2025-09-09 22:00:00+00:00,2025-09-10 04:00:00+00:00,4316.95,4310.32,-0.001535806530073347,-6.630000000000135,6,long_exit_signal,-0.007632703644934513,0.0004378091013332863,-0.001535806530073347,0.0,4321.850279881493,51.78752557923292,26.717573780595608,4316.95,4276.8736393291065,long,4306.064413018611,49.988877447976435,24.84263216516169,4310.32,4347.583948247742,short
26,Short,2025-09-10 04:00:00+00:00,2025-09-10 12:00:00+00:00,4310.32,4369.27,-0.013676478776518008,-58.9500000000011,8,short_exit_signal,-0.01349195632222333,0.0009265430192297863,0.0,-0.013676478776518008,4306.064413018611,49.988877447976435,24.84263216516169,4310.32,4347.583948247742,short,4332.057868701269,67.32616411117036,25.469047908060357,,,flat
27,Long,2025-09-10 21:00:00+00:00,2025-09-16 23:00:00+00:00,4347.72,4499.41,0.03488955130505178,151.68999999999974,146,long_exit_signal,-0.00085562087714941,0.09361918430809713,0.03488955130505178,0.0,4360.551952757935,52.028276044339776,33.902396012621296,4347.72,4296.866405981068,long,4484.492705155057,48.97462809520883,29.799895621131764,4499.41,4544.109843431697,short
28,Short,2025-09-16 23:00:00+00:00,2025-09-17 02:00:00+00:00,4499.41,4528.24,-0.00640750676199775,-28.830000000000297,3,short_exit_signal,-0.00636671201173078,0.0,0.0,-0.00640750676199775,4484.492705155057,48.97462809520883,29.799895621131764,4499.41,4544.109843431697,short,4519.69419056262,57.28663693646713,29.8528610348493,,,flat
29,Short,2025-09-20 23:00:00+00:00,2025-09-27 20:00:00+00:00,4478.27,4005.2,0.10563677491531343,473.0700000000007,165,short_exit_signal,-0.0037839689630010387,0.1671127558931993,0.0,0.10563677491531343,4477.994937743235,47.735551594723475,17.653850686776078,4478.27,4504.750776030164,short,4006.027688203937,51.052226140383524,23.971316117972087,4005.2,3969.2430258230415,long
30,Long,2025-09-27 20:00:00+00:00,2025-09-28 12:00:00+00:00,4005.2,3976.0,-0.007290522320982706,-29.199999999999935,16,long_exit_signal,-0.007290522320982706,0.003944871666833105,-0.007290522320982706,0.0,4006.027688203937,51.052226140383524,23.971316117972087,4005.2,3969.2430258230415,long,3997.9020999937934,38.22389587855387,19.583781030305076,,,flat
31,Long,2025-09-30 11:00:00+00:00,2025-09-30 14:00:00+00:00,4162.78,4147.05,-0.003778724794488153,-15.729999999999393,3,long_exit_signal,-0.003778724794488153,0.0,-0.003778724794488153,0.0,4182.1370805282495,50.212564884203765,29.206218538207644,4162.78,4118.970672192689,long,4172.965544425528,45.4684819959647,30.08680106721653,,,flat
32,Short,2025-10-08 20:00:00+00:00,2025-10-20 20:00:00+00:00,4501.44,3996.77,0.11211301272481689,504.6699999999997,288,short_exit_signal,-0.004938348018692418,0.21867055794549128,0.0,0.11211301272481689,4478.4328380306015,49.51191550202439,41.793273390142545,4501.44,4564.129910085214,short,4001.1840650116806,50.969590653275205,37.64814903510812,3996.77,3940.2977764473376,long
33,Long,2025-10-20 20:00:00+00:00,2025-10-21 01:00:00+00:00,3996.77,3946.56,-0.012562644335300743,-50.20999999999995,5,long_exit_signal,-0.012562644335300743,0.0,-0.012562644335300743,0.0,4001.1840650116806,50.969590653275205,37.64814903510812,3996.77,3940.2977764473376,long,3957.7143975198355,40.715808212655176,34.5343415312303,,,flat
34,Long,2025-10-24 18:00:00+00:00,2025-10-28 14:00:00+00:00,3909.88,4117.29,0.053047663866921724,207.4099999999999,92,long_exit_signal,0.0,0.08272376645830559,0.053047663866921724,0.0,3932.047561921749,50.78154148180807,40.27815199780976,3909.88,3849.4627720032854,long,4113.882354800329,48.34848364483126,38.230233568587245,4117.29,4174.635350352881,short
35,Short,2025-10-28 14:00:00+00:00,2025-11-08 21:00:00+00:00,4117.29,3404.18,0.17319887595967254,713.1100000000001,271,short_exit_signal,-0.0050745597819389365,0.2820457730032695,0.0,0.17319887595967254,4113.882354800329,48.34848364483126,38.230233568587245,4117.29,4174.635350352881,short,3416.5854064971672,50.922356541983376,33.525249406655355,3404.18,3353.892125890017,long
36,Long,2025-11-08 21:00:00+00:00,2025-11-13 16:00:00+00:00,3404.18,3326.74,-0.022748503310635715,-77.43999999999988,115,long_exit_signal,-0.022748503310635715,0.06755224459341158,-0.022748503310635715,0.0,3416.5854064971672,50.922356541983376,33.525249406655355,3404.18,3353.892125890017,long,3450.9786306692117,29.515081211593923,51.94048414080565,,,flat
37,Short,2025-11-15 14:00:00+00:00,2025-11-16 09:00:00+00:00,3176.34,3247.13,-0.022286656969971785,-70.79000000000019,19,short_exit_signal,-0.021800790236300993,0.008541200975411556,0.0,-0.022286656969971785,3164.2815285164597,49.407880176958116,40.72247749056045,3176.34,3237.423716235841,short,3192.4082498163343,63.716354964741974,30.48868695898452,,,flat
38,Short,2025-11-18 11:00:00+00:00,2025-11-18 16:00:00+00:00,3056.44,3150.88,-0.030898692596615707,-94.44000000000011,5,short_exit_signal,-0.029972579089016405,0.003098129307515629,0.0,-0.030898692596615707,3015.930087146519,49.35958045263285,47.37079051483831,3056.44,3127.4961857722574,short,3039.5904390291003,65.2945253458195,50.7200590204711,,,flat
39,Short,2025-11-19 08:00:00+00:00,2025-11-20 12:00:00+00:00,3079.13,3027.4,0.016800200056509507,51.73000000000012,28,short_exit_signal,-0.00648548187775666,0.06884916984577161,0.0,0.016800200056509507,3061.54253712049,49.6098521231708,41.55066742591269,3079.13,3141.456001138869,short,3029.0977859818136,50.48658020391322,37.28792865202408,3027.4,2971.468107021964,long
40,Long,2025-11-20 12:00:00+00:00,2025-11-20 14:00:00+00:00,3027.4,2999.42,-0.009242254079408041,-27.979999999999905,2,long_exit_signal,-0.009506507233930206,0.0,-0.009242254079408041,0.0,3029.0977859818136,50.48658020391322,37.28792865202408,3027.4,2971.468107021964,long,3019.7658269551184,44.9896879033444,39.89352011322487,,,flat
41,Short,2025-11-22 17:00:00+00:00,2025-11-23 01:00:00+00:00,2748.64,2807.08,-0.021261423831422155,-58.44000000000019,8,short_exit_signal,-0.020818786781994114,0.0031569458282694196,0.0,-0.021261423831422155,2740.153987563389,49.231320091836245,35.20514260953556,2748.64,2801.447713914303,short,2790.1106511816415,61.13141792292198,31.930245915642768,,,flat
42,Long,2025-11-23 18:00:00+00:00,2025-11-24 00:00:00+00:00,2807.33,2786.69,-0.007352181610284503,-20.639999999999993,6,long_exit_signal,-0.007352181610284503,0.01160177107785687,-0.007352181610284503,0.0,2814.500911160157,52.12742182953225,29.207162195022804,2807.33,2763.5192567074655,long,2783.383333333333,45.29465362806053,30.13067520593508,,,flat
43,Long,2025-11-25 10:00:00+00:00,2025-11-26 07:00:00+00:00,2896.69,2943.06,0.016007926288280627,46.369999999999614,21,forced_exit_at_end,-0.005965429507472364,0.02490083509108687,0.016007926288280627,0.0,2909.100751607995,50.53013288383851,30.488849044870367,2896.69,2850.9567264326947,long,2946.377879218235,54.32578545373813,31.653188897877463,2896.69,2850.9567264326947,long
